"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"02-May-2019","    11725.55","    11789.30","    11699.55","    11724.75","      380278045","        17790.06"
"03-May-2019","    11722.60","    11770.90","    11699.35","    11712.25","      305519934","        15156.32"
"06-May-2019","    11605.80","    11632.55","    11571.35","    11598.25","      299046480","        14703.42"
"07-May-2019","    11651.50","    11657.05","    11484.45","    11497.90","      337495624","        16632.84"
"08-May-2019","    11478.70","    11479.10","    11346.95","    11359.45","      372826025","        17440.01"
"09-May-2019","    11322.40","    11357.60","    11255.05","    11301.80","      373028059","        17602.86"
"10-May-2019","    11314.15","    11345.80","    11251.05","    11278.90","      387323416","        18085.19"
"13-May-2019","    11258.70","    11300.20","    11125.60","    11148.20","      357586433","        16722.91"
"14-May-2019","    11151.65","    11294.75","    11108.30","    11222.05","      398122725","        19906.38"
"15-May-2019","    11271.70","    11286.80","    11136.95","    11157.00","      414174258","        17931.75"
"16-May-2019","    11180.35","    11281.55","    11143.35","    11257.10","      350734572","        15629.57"
"17-May-2019","    11261.90","    11426.15","    11259.85","    11407.15","      412109200","        20177.63"
"20-May-2019","    11651.90","    11845.20","    11591.70","    11828.25","      452096261","        25223.78"
"21-May-2019","    11863.65","    11883.55","    11682.80","    11709.10","      381038129","        20324.67"
"22-May-2019","    11727.95","    11784.80","    11682.40","    11737.90","      355870667","        19582.41"
"23-May-2019","    11901.30","    12041.15","    11614.50","    11657.05","      569030654","        31180.08"
"24-May-2019","    11748.00","    11859.00","    11658.10","    11844.10","      374637415","        20028.49"
"27-May-2019","    11855.50","    11957.15","    11812.40","    11924.75","      348356214","        17735.36"
"28-May-2019","    11958.35","    11958.55","    11864.90","    11928.75","      598308334","        28833.54"
"29-May-2019","    11905.80","    11931.90","    11836.80","    11861.10","      318068673","        15985.92"
"30-May-2019","    11865.30","    11968.55","    11859.40","    11945.90","      421199867","        20261.85"
"31-May-2019","    11999.80","    12039.25","    11829.45","    11922.80","      438879129","        22789.00"
